adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 126, -18.266607171, 237.868000000, 6.124180531
"001100000", 250, -6.679885355, 345.194000000, 14.250843381
"001100010", 0, 0.000000000, 0.000000000, 0.000000000
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 0, 0.000000000, 0.000000000, 0.000000000
"011000000", 168, -14.700857735, 277.934000000, 7.478067061
"011001000", 130, 36.250779437, 11.854000000, 3.259129923
"011100000", 0, 0.000000000, 0.000000000, 0.000000000
"011100010", 0, 0.000000000, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
